id,device_id,timestamp,data,sensor_type
46,KPCL0022,2025-05-04 23:39:32.010,"{'unit': '%', 'value': 25.3, 'timestamp': '04/05/2025, 19:39:31'}",humidity
47,KPCL0022,2025-05-04 23:39:32.040,"{'unit': 'lux', 'value': 111, 'timestamp': '04/05/2025, 19:39:31'}",light
48,KPCL0022,2025-05-04 23:39:32.071,"{'unit': 'g', 'value': -0.153001, 'timestamp': '04/05/2025, 19:39:31'}",weight
49,KPCL0022,2025-05-04 23:39:36.940,"{'unit': '°C', 'value': 24.5, 'timestamp': '04/05/2025, 19:39:36'}",temperature
50,KPCL0022,2025-05-04 23:39:36.973,"{'unit': '%', 'value': 25.4, 'timestamp': '04/05/2025, 19:39:36'}",humidity
51,KPCL0022,2025-05-04 23:39:37.004,"{'unit': 'lux', 'value': 108, 'timestamp': '04/05/2025, 19:39:36'}",light
52,KPCL0022,2025-05-04 23:39:37.035,"{'unit': 'g', 'value': -0.157218, 'timestamp': '04/05/2025, 19:39:36'}",weight
53,KPCL0022,2025-05-04 23:39:41.910,"{'unit': '°C', 'value': 24.6, 'timestamp': '04/05/2025, 19:39:41'}",temperature
54,KPCL0022,2025-05-04 23:39:41.941,"{'unit': '%', 'value': 25.4, 'timestamp': '04/05/2025, 19:39:41'}",humidity
55,KPCL0022,2025-05-04 23:39:41.975,"{'unit': 'lux', 'value': 128, 'timestamp': '04/05/2025, 19:39:41'}",light
56,KPCL0022,2025-05-04 23:39:42.009,"{'unit': 'g', 'value': -0.141783, 'timestamp': '04/05/2025, 19:39:41'}",weight
57,KPCL0022,2025-05-04 23:39:46.957,"{'unit': '°C', 'value': 24.6, 'timestamp': '04/05/2025, 19:39:46'}",temperature
58,KPCL0022,2025-05-04 23:39:46.987,"{'unit': '%', 'value': 25.4, 'timestamp': '04/05/2025, 19:39:46'}",humidity
59,KPCL0022,2025-05-04 23:39:47.020,"{'unit': 'lux', 'value': 114, 'timestamp': '04/05/2025, 19:39:46'}",light
60,KPCL0022,2025-05-04 23:39:47.051,"{'unit': 'g', 'value': -0.142877, 'timestamp': '04/05/2025, 19:39:46'}",weight
61,KPCL0022,2025-05-04 23:39:51.916,"{'unit': '°C', 'value': 24.7, 'timestamp': '04/05/2025, 19:39:51'}",temperature
62,KPCL0022,2025-05-04 23:39:51.946,"{'unit': '%', 'value': 25.4, 'timestamp': '04/05/2025, 19:39:51'}",humidity
63,KPCL0022,2025-05-04 23:39:51.976,"{'unit': 'lux', 'value': 127, 'timestamp': '04/05/2025, 19:39:51'}",light
64,KPCL0022,2025-05-04 23:39:52.006,"{'unit': 'g', 'value': -0.161695, 'timestamp': '04/05/2025, 19:39:51'}",weight
65,KPCL0022,2025-05-04 23:39:56.997,"{'unit': '°C', 'value': 24.7, 'timestamp': '04/05/2025, 19:39:56'}",temperature
66,KPCL0022,2025-05-04 23:39:57.028,"{'unit': '%', 'value': 25.3, 'timestamp': '04/05/2025, 19:39:56'}",humidity
67,KPCL0022,2025-05-04 23:39:57.058,"{'unit': 'lux', 'value': 124, 'timestamp': '04/05/2025, 19:39:56'}",light
68,KPCL0022,2025-05-04 23:39:57.089,"{'unit': 'g', 'value': -0.144046, 'timestamp': '04/05/2025, 19:39:56'}",weight
69,KPCL0022,2025-05-04 23:40:01.932,"{'unit': '°C', 'value': 24.7, 'timestamp': '04/05/2025, 19:40:01'}",temperature
70,KPCL0022,2025-05-04 23:40:01.961,"{'unit': '%', 'value': 25.3, 'timestamp': '04/05/2025, 19:40:01'}",humidity
71,KPCL0022,2025-05-04 23:40:01.992,"{'unit': 'lux', 'value': 113, 'timestamp': '04/05/2025, 19:40:01'}",light
72,KPCL0022,2025-05-04 23:40:02.023,"{'unit': 'g', 'value': -0.152431, 'timestamp': '04/05/2025, 19:40:01'}",weight
73,KPCL0022,2025-05-04 23:40:06.987,"{'unit': '°C', 'value': 24.7, 'timestamp': '04/05/2025, 19:40:06'}",temperature
74,KPCL0022,2025-05-04 23:40:07.022,"{'unit': '%', 'value': 25.3, 'timestamp': '04/05/2025, 19:40:06'}",humidity
75,KPCL0022,2025-05-04 23:40:07.053,"{'unit': 'lux', 'value': 110, 'timestamp': '04/05/2025, 19:40:06'}",light
